,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6020,Emily,within an hour,100%,87%,t,1.0,3.0,"['email', 'phone']",t,Bernal Heights,Entire home/apt,8,3.0,4.0,4.0,$371.00,3,365,2.0,30.0,365.0,365.0,11.1,365.0,t,0,30,30,60,18,18,3,60,11,198,73458.0,5.0,5.0,4.94,5.0,4.89,5.0,5.0,f,1,1,0,0,1.84
6021,Grettel,within a few hours,100%,88%,t,2.0,4.0,"['email', 'phone']",t,South of Market,Entire home/apt,2,1.0,1.0,1.0,$140.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,7,37,67,341,16,1,0,282,2,60,8400.0,4.81,4.88,4.94,4.94,4.88,4.19,4.56,f,2,2,0,0,0.22
6022,Grettel,within a few hours,100%,88%,t,2.0,4.0,"['email', 'phone']",t,Russian Hill,Entire home/apt,4,2.5,2.0,2.0,$689.00,3,28,3.0,3.0,28.0,28.0,3.0,28.0,t,0,4,25,61,53,8,2,61,6,88,60632.0,4.89,4.89,4.98,4.94,4.92,5.0,4.68,f,2,2,0,0,0.56
6023,Cornell Hotel De France,within an hour,100%,50%,f,5.0,7.0,"['email', 'phone']",t,Nob Hill,Private room,2,,1.0,,,1,365,1.0,1.0,28.0,731.0,1.0,551.5,t,25,55,80,96,0,0,0,96,0,0,,,,,,,,,t,4,0,4,0,
6024,Cornell Hotel De France,within an hour,100%,50%,f,5.0,7.0,"['email', 'phone']",t,Nob Hill,Private room,2,1.0,1.0,1.0,$149.00,1,365,1.0,1.0,28.0,731.0,1.0,554.8,t,29,57,81,95,0,0,0,95,0,0,0.0,,,,,,,,t,4,0,4,0,
6025,Cornell Hotel De France,within an hour,100%,50%,f,5.0,7.0,"['email', 'phone']",t,Nob Hill,Private room,2,1.0,1.0,1.0,$162.00,1,365,1.0,1.0,28.0,731.0,1.0,554.8,t,29,59,78,93,0,0,0,93,0,0,0.0,,,,,,,,t,4,0,4,0,
6026,Cornell Hotel De France,within an hour,100%,50%,f,5.0,7.0,"['email', 'phone']",t,Nob Hill,Private room,2,1.0,1.0,1.0,$135.00,1,365,1.0,1.0,28.0,731.0,1.0,568.0,t,27,51,74,87,0,0,0,87,0,0,0.0,,,,,,,,t,4,0,4,0,
6027,Robert,within a few hours,100%,81%,t,1.0,1.0,"['email', 'phone']",f,Mission,Entire home/apt,4,1.0,2.0,2.0,$295.00,3,7,3.0,3.0,7.0,7.0,3.0,7.0,t,13,13,13,13,35,12,0,13,12,132,38940.0,4.94,4.97,4.74,4.94,4.94,4.97,4.91,f,1,1,0,0,1.05
6028,Evonne,,,0%,f,1.0,2.0,"['email', 'phone']",t,Glen Park,Entire home/apt,6,2.0,3.0,3.0,$383.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,30,60,90,179,3,0,0,179,0,0,0.0,5.0,4.67,4.67,5.0,5.0,4.67,4.33,f,1,1,0,0,0.13
6029,Johnny,within a few hours,100%,100%,t,4.0,8.0,"['email', 'phone']",t,Marina,Entire home/apt,12,2.0,4.0,5.0,$216.00,30,160,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,27,297,10,2,0,238,8,120,25920.0,4.8,4.7,4.7,5.0,4.9,4.7,4.7,t,1,1,0,0,0.68
